,,,,,,,,,,,,
,,,,WS,$64,,,,,,,
IF6490 HANDBALL SPEZIAL (Women's),,,,Size,Qty,,,,,,,
#REF!,,,,,,,,,,,,
,,,,6,10,,,,,,,
,,,,6.5,11,,,,,,,
,,,,7,20,,,,,,,
,,,,7.5,17,,,,,,,
,,,,8,16,,,,,,,
,,,,8.5,27,,,,,,,
,,,,9,6,,,,,,,
,,,,9.5,4,,,,,,,
,,,,11,3,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Total,114,,,,,,,
,,,,,,,,,,,,
,,,,WS,$60,,,,,,WS,$66
ID0478 SAMBA OG (Women's),,,,Size,Qty,,JI2725 SAMBA OG (Women's),,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,,,,,,,,,
,,,,5.5,9,,,,,,,
,,,,6,5,,,,,,6.5,2
,,,,6.5,8,,,,,,7,4
,,,,7,8,,,,,,7.5,4
,,,,7.5,8,,,,,,8,2
,,,,8,17,,,,,,,
,,,,8.5,20,,,,,,,
,,,,9.5,1,,,,,,,
,,,,10,3,,,,,,,
,,,,10.5,1,,,,,,,
,,,,,,,,,,,,
,,,,Total,80,,,,,,Total,12
,,,,,,,,,,,,
,,,,WS,$67,,,,,,WS,$69
DQ8423-102 JORDAN 1 MID (GS),,,,Size,Qty,,DQ8426-100 JORDAN 1 MID (Mens),,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,,,,,,,,7.5,1
,,,,,,,,,,,8,2
,,,,4.5,1,,,,,,8.5,2
,,,,5,1,,,,,,9,3
,,,,5.5,3,,,,,,9.5,5
,,,,6,4,,,,,,10,5
,,,,6.5,7,,,,,,10.5,5
,,,,7,14,,,,,,11,3
,,,,,,,,,,,11.5,1
,,,,,,,,,,,12,2
,,,,,,,,,,,13,1
,,,,,,,,,,,,
,,,,Total,30,,,,,,Total,30
,,,,,,,,,,,,
,,,,WS,$78,,,,,,WS,$77
553558-166 JORDAN 1 LOW (Mens),,,,Size,Qty,,DQ8426-101 JORDAN 1 MID (Mens),,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,8,3,,,,,,8,1
,,,,8.5,6,,,,,,8.5,3
,,,,9,2,,,,,,9,3
,,,,9.5,7,,,,,,9.5,3
,,,,10,9,,,,,,10,6
,,,,10.5,6,,,,,,10.5,4
,,,,11,7,,,,,,11,4
,,,,11.5,3,,,,,,11.5,3
,,,,12,5,,,,,,12,2
,,,,13,2,,,,,,13,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Total,50,,,,,,Total,30
,,,,,,,,,,,,
,,,,WS,$270,,,,,,WS,$74
FV5029-003 JORDAN 4 Rare Air (Mens),,,,Size,Qty,,DQ8426-801 JORDAN 1 MID (Mens),,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,7.5,1,,,,,,7,1
,,,,8,2,,,,,,7.5,1
,,,,8.5,3,,,,,,8,4
,,,,9,3,,,,,,8.5,5
,,,,9.5,3,,,,,,9,5
,,,,10,4,,,,,,9.5,4
,,,,10.5,4,,,,,,10,7
,,,,11,3,,,,,,10.5,6
,,,,11.5,3,,,,,,11,5
,,,,12,2,,,,,,11.5,6
,,,,13,2,,,,,,12,4
,,,,,,,,,,,13,2
,,,,Total,30,,,,,,Total,50
,,,,,,,,,,,,
,,,,WS,$135,,,,,,WS,$78
IB4171-003 JORDAN 4 Rare Air (GS),,,,Size,Qty,,IB4388-003 JORDAN 4 Rare Air (PS),,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,,,,,,,,,
,,,,4,1,,,,,,11,10
,,,,4.5,2,,,,,,12,9
,,,,5,3,,,,,,13,5
,,,,5.5,6,,,,,,1,6
,,,,6,8,,,,,,2,10
,,,,6.5,8,,,,,,3,10
,,,,7,12,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Total,40,,,,,,Total,50
,,,,,,,,,,,,
,,,,WS,$62,,,,,,WS,$68
IB6714-100 JORDAN 4 Denim (TD),,,,Size,Qty,,IB4387-003 JORDAN 4 Rare Air (TD),,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,,,,,,,,,
,,,,4,1,,,,,,2,1
,,,,5,1,,,,,,3,3
,,,,6,2,,,,,,4,4
,,,,7,2,,,,,,5,5
,,,,8,2,,,,,,6,5
,,,,9,1,,,,,,7,4
,,,,10,2,,,,,,8,4
,,,,,,,,,,,9,8
,,,,,,,,,,,10,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Total,11,,,,,,Total,40
,,,,,,,,,,,,
,,,,WS,$190,,,,,,WS,$69
IB6716-100 JORDAN 4 Denim (W),,,,Size,Qty,,IB6716-100 JORDAN 4 Denim (PS),,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,,,,,,,,,
,,,,9,1,,,,,,11,4
,,,,9.5,4,,,,,,12,4
,,,,10,5,,,,,,13,4
,,,,10.5,8,,,,,,1,4
,,,,11,16,,,,,,2,4
,,,,11.5,18,,,,,,3,4
,,,,12,28,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Total,80,,,,,,Total,24
,,,,,,,,,,,,
,,,,WS,$69,,,,,,WS,
DQ8423-801 AIR JORDAN 1 MID,,,,Size,Qty,,HJ5999-400 AIR JORDAN 1 LOW,,,,Size,Qty
#REF!,,,,,,,#REF!,,,,,
,,,,,,,,,,,7.5,1
,,,,4,1,,,,,,8,3
,,,,4.5,3,,,,,,8.5,4
,,,,5,4,,,,,,9,3
,,,,5.5,7,,,,,,9.5,3
,,,,6,10,,,,,,10,3
,,,,6.5,13,,,,,,10.5,4
,,,,7,22,,,,,,11,2
,,,,,,,,,,,11.5,3
,,,,,,,,,,,12,3
,,,,,,,,,,,13,1
,,,,,,,,,,,,
,,,,Total,60,,,,,,Total,30
