shoe_name,brand,model,catalog_id,size,data_reliability_warning,is_duplicate_catalog_data,duplicate_of_shoe,analysis_period_days,data_date_range_start,data_date_range_end,sales_count_display,sales_count_raw,hit_api_limit,sales_velocity_display,sales_velocity_raw,velocity_is_minimum,consigned_sales_this_size,consigned_percentage_this_size,total_sales_all_sizes,total_active_sizes,avg_sale_price_this_size,price_based_on_recent_only,min_sale_price_this_size,max_sale_price_this_size,price_range_this_size,search_terms_used,error_message,analysis_timestamp
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,5,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥0.717,0.717,True,53,26.5,2317,12,100.79,True,29.0,146.0,117.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,5.5,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥0.837,0.837,True,55,27.5,2317,12,99.47,True,36.0,141.0,105.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,6,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥1.471,1.471,True,11,5.5,2317,12,57.6,True,29.0,112.0,83.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,6.5,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥1.626,1.626,True,11,5.5,2317,12,55.08,True,36.0,116.0,80.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,7,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥1.258,1.258,True,41,20.5,2317,12,87.36,True,44.0,119.0,75.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,7.5,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥3.448,3.448,True,12,6.0,2317,12,45.75,True,36.0,95.0,59.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,8,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥1.709,1.709,True,20,10.0,2317,12,55.54,True,36.0,104.0,68.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,8.5,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥1.515,1.515,True,22,11.0,2317,12,55.64,True,29.0,118.0,89.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,9,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥0.926,0.926,True,20,10.0,2317,12,65.58,True,29.0,116.0,87.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,9.5,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥0.84,0.84,True,34,17.0,2317,12,70.33,True,36.0,139.0,103.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,10,Sales capped at API limit; Velocity is minimum; Prices from recent sales only,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,≥200,200,True,≥0.627,0.627,True,38,19.0,2317,12,94.47,True,36.0,144.0,108.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
IF6490 HANDBALL SPEZIAL (Women's),adidas,,wmns-handball-spezial-earth-strata-gum-if6490,10.5,Data appears complete,False,,482,2024-03-29T10:14:00.278Z,2025-07-25T01:22:45.576Z,117,117,False,0.244,0.244,False,19,16.2,2317,12,92.91,False,29.0,147.0,118.0,IF6490 HANDBALL SPEZIAL (Women's); IF6490 HANDBALL SPEZIAL; Adidas Handball Spezial; Handball Spezial; (Women's),,2025-07-25T01:53:21.029020
