Shoe Name,Size,Quantity,Price,Notes
Jordan 3 white cement 88,11,1,460,
Nike dunk low sandrift,11W,1,110,
Nike air max patta black,5.5,1,375,
Supreme air max 1 87 purple,13,1,225,
Supreme air max 1 87 white,11.5,2,210,
Supreme air max 1 87 white,12,1,210,
Supreme air max 1 87 black,9.5,1,225,
Supreme air max 1 87 black,10,1,225,
Supreme air max 1 87 black,11.5,1,225,
Supreme air max 1 87 black,13,1,225,
Supreme Air Force 1 mid black,12,1,175,
Supreme Air Force 1 low black,12,4,155,
Supreme Air Force 1 low black,13,2,155,
Nike Air Force 1 low Kobe Bryant forever white,11,1,135,
Kobe dodgers,13,1,275,
Jordan 4 bred 2019,11.5,1,390,
Yeezy bone 500,4.5,13,185,TAKE ALL ONLY
Yeezy bone 500,5,9,185,TAKE ALL ONLY
Yeezy bone 500,5.5,4,185,TAKE ALL ONLY
Yeezy steel grey 350,4.5,1,80,TAKE ALL ONLY
Yeezy steel grey 350,5,1,80,TAKE ALL ONLY
Yeezy steel grey 350,6.5,1,80,TAKE ALL ONLY
Sb navy 4,10,2,310,
Sb navy 4,10.5,6,310,
Sb navy 4,11,5,310,
Sb navy 4,11.5,1,310,
Sb navy 4,12,3,310,
Nike roshe g tour black,12,1,65,
Bravest bear claw brown mule,8,1,100,
Bravest bear claw brown mule,13,2,100,
Nike air max 95 cortiez honey black,13,2,220,
Nike LD waffle sacai black,11.5,1,400,
New balance Action Bronson rose water,9.5,1,210,
Tom sachs general purpose shoe field brown,6W,1,40,
Jordan 6 Gatorade green,12,1,310,
Jordan 3 tinker hatfield,11.5,1,275,
White cement 4,8,1,245,
White cement 4,8.5,2,245,
White cement 4,9.5,1,245,
White cement 4,10.5,1,245,
White cement 4,11,8,245,
White cement 4,11.5,3,245,
White cement 4,12,4,245,
White cement 4 (GS),6,4,185,
White cement 4 (GS),7,12,185,
Jordan 1 low Travis velvet,11.5,1,375,
Jordan 1 high retro black toe 2016,11,1,265,
Jordan 1 high obsidian,11,1,220,
Jordan 1 high retro shattered backboard,11,1,515,
Jordan 1 high 85 varsity red,11,1,225,
Adidas Yeezy boost 700 nmvn blue tint,5.5,1,55,
Jordan 6 washed retro denim,12,1,250,
Nike sb dunk low huf New York City,15,1,200,
Jordan 12 retro wings,11.5,1,300,
Jordan 4 retro white cement 2012,9,1,220,
Jordan 12 flu game 2016,12,1,255,
Jordan 12 flu game 2025 (GS),4.5,1,175,
Jordan 12 flu game 2025 (GS),5,6,175,
Jordan 12 flu game 2025 (GS),5.5,8,175,
Jordan 12 flu game 2025 (GS),6,4,175,
Jordan 12 flu game 2025 (GS),6.5,4,175,
Jordan 4 bred reimagined,3.5,1,115,
Jordan 14 Ferrari 2025 (GS),5,2,175,
Jordan 14 Ferrari 2025 (GS),5.5,1,175,
Jordan 14 Ferrari 2025 (GS),6,1,175,
Jordan 14 Ferrari 2025,10,1,270,
Jordan 14 Ferrari 2025,11,1,270,
Jordan 1 high retro Trophy room (without laces),11.5,1,700,
OREGON PACK Nike Kobe AD Oregon DS (slight markings from displayed/ no box),11,1,200,
Nike air foam posite Oregon ducks (used but super clean),11,1,350,
Jordan 12 Wool Grey Oregon PE VNDS,14,1,1000, 
