original_shoe_name,original_size,original_price,condition,bid_profit,ask_profit,stockx_bid,stockx_ask,stockx_sku,stockx_url,stockx_size,size_match_uncertain,stockx_shoe_name
JORDAN 1 BLACK TOE REIMAGINED,90,,,,,,,,,,,
JORDAN 1 85 BLACK/WHITE,170,,,,,,,,,,,
JORDAN 1 SPIDERVERSE,50,,,,,,,,,,,
JORDAN 4 MILITARY BLACK,560,,,,,,,,,,,
JORDAN 4 RED CEMENT,190,,,,,,,,,,,
JORDAN 4 THUNDER,9,260,,$25.00,$90.00,$285,$350,FQ8138-001,https://stockx.com/air-jordan-4-retro-white-thunder,9,,Jordan 4 Retro White Thunder
JORDAN 4 THUNDER,12,240,,,,,,,,,,
JORDAN 4 WHITE THUNDER,5 - 3,570,,,,,,,,,,
JORDAN 4 WHITE THUNDER,6 - 2,380,,$-69.00,$45.00,$311,$425,FQ8138-001,https://stockx.com/air-jordan-4-retro-white-thunder,6,,Jordan 4 Retro White Thunder
JORDAN 4 MILITARY BLUE,8,200,,,,,,,,,,
JORDAN 4 MILITARY BLUE,12,170,,,,,,,,,,
JORDAN 4 MILITARY BLUE,5 - 2,,,,,$237,$365,FV5029-141,https://stockx.com/air-jordan-4-retro-military-blue-2024,5,,Jordan 4 Retro Military Blue (2024)
JORDAN 4 INFRARED,11,190,,$26.00,$56.00,$216,$246,DH6927-061,https://stockx.com/air-jordan-4-retro-infrared,11,,Jordan 4 Retro Infrared
JORDAN 4 INFRARED,11.5,190,,$8.00,$69.00,$198,$259,DH6927-061,https://stockx.com/air-jordan-4-retro-infrared,11.5,,Jordan 4 Retro Infrared
JORDAN 5 OFF WHITE SAIL,9.5,460,,,,,,,,,,
JORDAN 5 JADE HORIZON,12,130,,$20.00,$28.00,$150,$158,DC7501-300,https://stockx.com/air-jordan-5-retro-jade-horizon,12,,Jordan 5 Retro Jade Horizon
JORDAN 12 BARON,10.5,190,,$40.00,$70.00,$230,$260,CT8013-010,https://stockx.com/air-jordan-12-retro-barons-2024,10.5,,Jordan 12 Retro Barons
JORDAN 12 BARON,11.5,200,,,,,,,,,,
NIKE DUNK LOW BLUEBERRY,4.5,60,,,,,,,,,,
NIKE DUNK LOW BLUEBERRY,5,55,,,,,,,,,YES,
NIKE DUNK LOW BLUEBERRY,5.5,70,,$-40.00,$67.00,$30,$137,DZ4456-100,https://stockx.com/nike-dunk-low-blueberry-gs,5.5Y,YES,Nike Dunk Low Blueberry (GS)
NIKE DUNK LOW BLUEBERRY,6,65,,,,,,,,,,
NIKE DUNK LOW BLUEBERRY,7,60,,,,,,,,,,
NIKE DUNK LOW UNC,5.5,50,,,,,,,,,,
NIKE DUNK LOW UNC,6,50,,,,,,,,,,
NIKE DUNK LOW UNC,6.5,45,,,,,,,,,,
NIKE DUNK LOW POLAR,9.5,50,,,,,,,,,,
NIKE DUNK LOW POLAR,10.5,70,,,,,,,,,,
NIKE DUNK LOW POLAR,11,65,,,,,,,,,,
